Row ID,Order Date,Ship Date,Order ID,Customer ID,Customer Name,Region,Country,State,City,Segment,Category,Sub-Category,Product ID,Product Name,Quantity,Payment Mode,Ship Mode,Sales,Profit,Returns
454,20-10-2020,24-10-2020,CA-2020-147277,EB-13705,Ed Braxton,East,United States,Ohio,Akron,Corporate,Furniture,Tables,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,2,COD,Standard Class,317.364,-75.8304,0
1528,22-07-2019,27-07-2019,CA-2019-122392,CJ-12010,Caroline Jumper,East,United States,Pennsylvania,Allentown,Consumer,Furniture,Furnishings,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",2,COD,Standard Class,11.648,3.3488,0
469,31-03-2020,04-04-2020,CA-2020-154907,DS-13180,David Smith,Central,United States,Texas,Amarillo,Corporate,Furniture,Bookcases,FUR-BO-10002824,Bush Mission Pointe Library,2,Online,Standard Class,242.3328,-36.2352,0
8031,07-01-2019,11-01-2019,CA-2019-158806,NM-18520,Neoma Murray,Central,United States,Texas,Amarillo,Consumer,Furniture,Furnishings,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",3,COD,Standard Class,23.076,-10.9611,0
8505,02-05-2019,06-05-2019,CA-2019-109400,NR-18550,Nick Radford,Central,United States,Texas,Amarillo,Consumer,Furniture,Chairs,FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",4,COD,Standard Class,366.744,-110.0232,0
5132,29-12-2020,05-01-2021,CA-2020-146626,BP-11185,Ben Peterman,West,United States,California,Anaheim,Corporate,Furniture,Furnishings,FUR-FU-10002501,Nu-Dell Executive Frame,8,COD,Standard Class,419.12,37.4144,0
5871,14-06-2019,14-06-2019,CA-2019-128223,EB-13705,Ed Braxton,West,United States,California,Anaheim,Corporate,Furniture,Tables,FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",7,COD,Same Day,1293.488,80.843,0
7055,11-12-2019,11-12-2019,CA-2019-165330,WB-21850,William Brown,West,United States,California,Anaheim,Consumer,Furniture,Chairs,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",5,COD,Same Day,363.92,-31.843,0
7058,11-12-2019,11-12-2019,CA-2019-165330,WB-21850,William Brown,West,United States,California,Anaheim,Consumer,Furniture,Tables,FUR-TA-10004619,Hon Non-Folding Utility Tables,7,COD,Same Day,892.136,111.517,0
8333,09-03-2019,12-03-2019,CA-2019-153269,PS-18760,Pamela Stobb,East,United States,Massachusetts,Andover,Consumer,Furniture,Chairs,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",5,Online,First Class,354.9,88.725,0
5652,17-07-2020,19-07-2020,CA-2020-142342,AJ-10795,Anthony Johnson,West,United States,California,Apple Valley,Corporate,Furniture,Bookcases,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5,Cards,Second Class,1222.165,210.735,1
6203,16-12-2019,23-12-2019,CA-2019-118332,PK-19075,Pete Kriz,West,United States,California,Apple Valley,Consumer,Furniture,Chairs,FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,5,COD,Standard Class,563.92,7.049,0
6654,08-09-2020,11-09-2020,US-2020-124779,BF-11020,Barry Französisch,Central,United States,Texas,Arlington,Corporate,Furniture,Chairs,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",5,COD,First Class,224.43,-39.637,0
6652,08-09-2020,11-09-2020,US-2020-124779,BF-11020,Barry Französisch,Central,United States,Texas,Arlington,Corporate,Furniture,Furnishings,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,2,Online,First Class,118.184,-11.6512,0
8086,20-10-2019,26-10-2019,CA-2019-105753,LC-16960,Lindsay Castell,South,United States,Virginia,Arlington,Home Office,Furniture,Furnishings,FUR-FU-10000246,Aluminum Document Frame,5,Online,Standard Class,61.1,18.33,0
770,19-05-2019,24-05-2019,CA-2019-157245,LE-16810,Laurel Elliston,South,United States,Virginia,Arlington,Consumer,Furniture,Chairs,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,2,Cards,Standard Class,641.96,179.7488,0
2263,06-02-2020,09-02-2020,CA-2020-122994,MV-17485,Mark Van Huff,South,United States,Virginia,Arlington,Consumer,Furniture,Bookcases,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3,Online,First Class,371.97,79.1934,0
2430,11-06-2019,17-06-2019,CA-2019-169922,MZ-17515,Mary Zewe,Central,United States,Texas,Arlington,Corporate,Furniture,Furnishings,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke",7,Online,Standard Class,12.544,-9.0944,0
8491,02-02-2019,04-02-2019,CA-2019-158841,SE-20110,Sanjit Engle,South,United States,Virginia,Arlington,Consumer,Furniture,Furnishings,FUR-FU-10001731,Acrylic Self-Standing Desk Frames,7,Online,Second Class,18.69,7.1022,0
311,12-09-2019,14-09-2019,CA-2019-142902,BP-11185,Ben Peterman,West,United States,Colorado,Arvada,Corporate,Furniture,Chairs,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2,Online,Second Class,466.768,52.5114,0
312,12-09-2019,14-09-2019,CA-2019-142902,BP-11185,Ben Peterman,West,United States,Colorado,Arvada,Corporate,Furniture,Furnishings,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",1,Online,Second Class,15.232,1.7136,0
310,12-09-2019,14-09-2019,CA-2019-142902,BP-11185,Ben Peterman,West,United States,Colorado,Arvada,Corporate,Furniture,Furnishings,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,4,Online,Second Class,15.136,3.5948,0
8357,26-08-2019,30-08-2019,CA-2019-163174,XP-21865,Xylona Preis,South,United States,Georgia,Athens,Consumer,Furniture,Furnishings,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,3,COD,Standard Class,186.54,41.0388,0
2861,19-05-2020,23-05-2020,CA-2020-138975,SC-20380,Shahid Collister,South,United States,Georgia,Atlanta,Consumer,Furniture,Bookcases,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,9,Cards,Standard Class,1652.82,374.6286,0
2014,18-09-2019,23-09-2019,CA-2019-145905,AM-10705,Anne McFarland,South,United States,Alabama,Auburn,Consumer,Furniture,Chairs,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1,Online,Standard Class,350.98,84.2352,0
1802,13-11-2019,19-11-2019,CA-2019-149461,AS-10135,Adrian Shami,West,United States,Washington,Auburn,Home Office,Furniture,Furnishings,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",1,Online,Standard Class,4.18,1.5048,0
989,21-05-2020,26-05-2020,CA-2020-167899,JG-15805,John Grady,East,United States,New York,Auburn,Corporate,Furniture,Furnishings,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,5,Online,Standard Class,541.05,72.807,0
